purchase_id,customer_id,product_id,purchase_date,quantity,total_price
PU0000001,C00001,P00051,2022-07-31,4,588.28
PU0000002,C00001,P00007,2022-11-25,1,15.53
PU0000003,C00001,P00008,2021-04-11,2,198.34
PU0000004,C00001,P00003,2022-07-01,1,40.35
PU0000005,C00001,P00027,2020-06-04,3,275.46
PU0000006,C00001,P00007,2020-11-22,3,52.41
PU0000007,C00001,P00011,2021-03-28,1,58.7
PU0000008,C00001,P00036,2020-11-15,1,120.37
PU0000009,C00002,P00035,2022-11-16,1,109.6
PU0000010,C00002,P00003,2022-09-17,3,119.79
PU0000011,C00002,P00052,2022-06-07,3,166.58
PU0000012,C00002,P00031,2021-12-14,1,70.24
PU0000013,C00002,P00052,2023-07-05,2,118.75
PU0000014,C00002,P00014,2023-01-21,3,144.92
PU0000015,C00002,P00027,2022-06-08,2,167.76
PU0000016,C00002,P00008,2023-04-24,3,273.86
PU0000017,C00002,P00013,2022-09-06,2,32.38
PU0000018,C00002,P00032,2023-08-12,4,313.63
PU0000019,C00002,P00052,2023-10-03,1,52.03
PU0000020,C00002,P00015,2022-05-04,2,90.62
PU0000021,C00002,P00034,2021-12-01,2,262.81
PU0000022,C00002,P00055,2024-03-25,4,510.61
PU0000023,C00002,P00038,2021-09-24,4,357.73
PU0000024,C00002,P00002,2022-04-07,1,32.5
PU0000025,C00002,P00030,2021-12-12,4,689.67
PU0000026,C00003,P00037,2022-11-30,2,140.35
PU0000027,C00003,P00049,2023-05-04,1,228.16
PU0000028,C00003,P00055,2021-02-14,4,510.02
PU0000029,C00004,P00030,2021-05-22,1,150.82
PU0000030,C00004,P00005,2020-07-05,4,317.3
PU0000031,C00005,P00041,2023-04-14,4,101.24
PU0000032,C00005,P00042,2024-09-27,2,253.05
PU0000033,C00005,P00036,2023-10-08,4,484.2
PU0000034,C00005,P00034,2024-01-13,1,141.31
PU0000035,C00005,P00046,2024-07-01,2,524.15
PU0000036,C00005,P00033,2024-03-27,4,459.28
PU0000037,C00005,P00018,2023-08-10,3,78.01
PU0000038,C00005,P00033,2023-08-11,2,239.29
PU0000039,C00005,P00036,2024-09-30,2,251.0
PU0000040,C00005,P00034,2024-06-21,2,278.6
PU0000041,C00005,P00049,2022-11-13,4,811.11
PU0000042,C00005,P00013,2023-02-21,1,16.53
PU0000043,C00005,P00042,2025-07-04,3,320.89
PU0000044,C00005,P00054,2024-03-13,2,142.14
PU0000045,C00005,P00004,2025-02-12,3,201.9
PU0000046,C00005,P00042,2024-12-14,4,477.83
PU0000047,C00005,P00001,2023-01-07,2,71.78
PU0000048,C00005,P00050,2023-10-29,1,33.46
PU0000049,C00005,P00014,2024-04-04,3,137.42
PU0000050,C00006,P00051,2023-10-19,3,468.95
PU0000051,C00006,P00020,2024-08-02,3,420.31
PU0000052,C00006,P00001,2023-10-17,1,37.93
PU0000053,C00006,P00047,2024-07-16,3,282.59
PU0000054,C00006,P00055,2024-02-28,3,395.27
PU0000055,C00006,P00029,2023-05-10,3,283.71
PU0000056,C00006,P00029,2023-04-05,1,103.08
PU0000057,C00006,P00001,2023-05-19,2,77.06
PU0000058,C00006,P00055,2022-03-24,1,133.14
PU0000059,C00006,P00023,2024-08-03,3,123.6
PU0000060,C00007,P00055,2023-09-02,1,140.08
PU0000061,C00007,P00035,2021-06-23,1,135.19
PU0000062,C00007,P00021,2022-06-21,2,35.54
PU0000063,C00008,P00001,2021-01-03,1,32.29
PU0000064,C00008,P00044,2022-11-06,1,212.25
PU0000065,C00008,P00026,2022-09-24,4,250.28
PU0000066,C00008,P00010,2022-05-03,3,197.16
PU0000067,C00008,P00023,2021-06-24,4,171.72
PU0000068,C00008,P00044,2022-09-23,2,434.45
PU0000069,C00008,P00004,2020-12-21,2,135.73
PU0000070,C00008,P00032,2022-03-19,2,189.24
PU0000071,C00008,P00017,2021-09-26,4,126.44
PU0000072,C00008,P00032,2022-10-19,4,339.65
PU0000073,C00008,P00047,2021-10-12,2,202.44
